feature,importance,Symbol
lag_1,"0,8111223442",AAPL
lag_2,"0,1333070749",AAPL
lag_3,"0,04463120364",AAPL
lag_4,"0,009607793574",AAPL
lag_5,"0,00133158366",AAPL
lag_1,"0,4072095442",MSFT
lag_2,"0,185044473",MSFT
lag_3,"0,0840002607",MSFT
lag_4,"0,1777515309",MSFT
lag_5,"0,1459941912",MSFT
lag_1,"0,9827192392",AMZN
lag_2,"0,01254316567",AMZN
lag_3,"0,002830928517",AMZN
lag_4,"0,0009509210182",AMZN
lag_5,"0,0009557455813",AMZN
lag_1,"0,9799820389",TSLA
lag_2,"0,01410713423",TSLA
lag_3,"0,003084974259",TSLA
lag_4,"0,001514596633",TSLA
lag_5,"0,001311255946",TSLA
lag_1,"0,9651245005",GOOGL
lag_2,"0,03058148243",GOOGL
lag_3,"0,002362779522",GOOGL
lag_4,"0,0007454662634",GOOGL
lag_5,"0,001185771309",GOOGL
lag_1,"0,9462912123",GOOG
lag_2,"0,05016828049",GOOG
lag_3,"0,001002288176",GOOG
lag_4,"0,0005891098898",GOOG
lag_5,"0,001949109118",GOOG
lag_1,"0,8915218048",NVDA
lag_2,"0,03887274599",NVDA
lag_3,"0,04819020072",NVDA
lag_4,"0,00474369769",NVDA
lag_5,"0,0166715508",NVDA
lag_1,"0,9515816741",META
lag_2,"0,02087438262",META
lag_3,"0,001981126943",META
lag_4,"0,007180280384",META
lag_5,"0,01838253596",META
lag_1,"0,8546351632",UNH
lag_2,"0,04906289416",UNH
lag_3,"0,04126056584",UNH
lag_4,"0,04566077049",UNH
lag_5,"0,009380606281",UNH